display_key,combined_key,file_name,country,province,latitude,longitude,population
Hungary,", Hungary",Hungary,Hungary,,47.1625,19.5033,9660351.0
Iceland,", Iceland",Iceland,Iceland,,64.9631,-19.0208,341243.0
India,", India",India,India,,20.593684,78.96288,1380004385.0
Indonesia,", Indonesia",Indonesia,Indonesia,,-0.7893,113.9213,273523615.0
Iran,", Iran",Iran,Iran,,32.427908,53.688046,83992949.0
Iraq,", Iraq",Iraq,Iraq,,33.223191,43.679291,40222493.0
Ireland,", Ireland",Ireland,Ireland,,53.1424,-7.6921,4937786.0
Israel,", Israel",Israel,Israel,,31.046051,34.851612,8655535.0
Italy,", Italy",Italy,Italy,,41.87194,12.56738,60461826.0
Jamaica,", Jamaica",Jamaica,Jamaica,,18.1096,-77.2975,2961167.0
Japan,", Japan",Japan,Japan,,36.204824,138.252924,126476461.0
Jordan,", Jordan",Jordan,Jordan,,31.24,36.51,10203134.0
Kazakhstan,", Kazakhstan",Kazakhstan,Kazakhstan,,48.0196,66.9237,18776707.0
Kenya,", Kenya",Kenya,Kenya,,-0.0236,37.9062,53771296.0
Kiribati,", Kiribati",Kiribati,Kiribati,,-3.3704,-168.734,119449.0
Korea South,", Korea South",Korea South,Korea South,,35.907757,127.766922,51269185.0
Kosovo,", Kosovo",Kosovo,Kosovo,,42.602636,20.902977,8737371.0
Kuwait,", Kuwait",Kuwait,Kuwait,,29.31166,47.481766,4270571.0
Kyrgyzstan,", Kyrgyzstan",Kyrgyzstan,Kyrgyzstan,,41.20438,74.766098,6524195.0
Laos,", Laos",Laos,Laos,,19.85627,102.495496,7275560.0
Latvia,", Latvia",Latvia,Latvia,,56.8796,24.6032,1886198.0
Lebanon,", Lebanon",Lebanon,Lebanon,,33.8547,35.8623,6825445.0
Lesotho,", Lesotho",Lesotho,Lesotho,,-29.61,28.2336,2142249.0
Liberia,", Liberia",Liberia,Liberia,,6.428055,-9.429499,5057681.0
Libya,", Libya",Libya,Libya,,26.3351,17.228331,6871292.0
Liechtenstein,", Liechtenstein",Liechtenstein,Liechtenstein,,47.14,9.55,38128.0
Lithuania,", Lithuania",Lithuania,Lithuania,,55.1694,23.8813,2722289.0
Luxembourg,", Luxembourg",Luxembourg,Luxembourg,,49.8153,6.1296,625978.0
MS Zaandam,", MS Zaandam",MS Zaandam,MS Zaandam,,0.0,0.0,0.0
Madagascar,", Madagascar",Madagascar,Madagascar,,-18.766947,46.869107,27691018.0
Malawi,", Malawi",Malawi,Malawi,,-13.2543,34.3015,19129952.0
Malaysia,", Malaysia",Malaysia,Malaysia,,4.210484,101.975766,32365999.0
Maldives,", Maldives",Maldives,Maldives,,3.2028,73.2207,540544.0
Mali,", Mali",Mali,Mali,,17.570692,-3.996166,20250833.0
Malta,", Malta",Malta,Malta,,35.9375,14.3754,441543.0
Marshall Islands,", Marshall Islands",Marshall Islands,Marshall Islands,,7.1315,171.1845,59190.0
Mauritania,", Mauritania",Mauritania,Mauritania,,21.0079,-10.9408,4649658.0
Mauritius,", Mauritius",Mauritius,Mauritius,,-20.348404,57.552152,1271768.0
Mexico,", Mexico",Mexico,Mexico,,23.6345,-102.5528,128932753.0
Micronesia,", Micronesia",Micronesia,Micronesia,,7.4256,150.5508,115023.0
Moldova,", Moldova",Moldova,Moldova,,47.4116,28.3699,4033963.0
Monaco,", Monaco",Monaco,Monaco,,43.7333,7.4167,39242.0
Mongolia,", Mongolia",Mongolia,Mongolia,,46.8625,103.8467,3278290.0
Montenegro,", Montenegro",Montenegro,Montenegro,,42.708678,19.37439,628066.0
Morocco,", Morocco",Morocco,Morocco,,31.7917,-7.0926,36910560.0
Mozambique,", Mozambique",Mozambique,Mozambique,,-18.665695,35.529562,31255435.0
Namibia,", Namibia",Namibia,Namibia,,-22.9576,18.4904,2540905.0
Nepal,", Nepal",Nepal,Nepal,,28.1667,84.25,29136808.0
Netherlands,", Netherlands",Netherlands,Netherlands,,52.1326,5.2913,17134872.0
"Netherlands, Aruba","Aruba, Netherlands",Aruba,Netherlands,Aruba,12.5211,-69.9683,106766.0
"Netherlands, Bonaire Sint Eustatius and Saba","Bonaire Sint Eustatius and Saba, Netherlands",Bonaire Sint Eustatius and Saba,Netherlands,Bonaire Sint Eustatius and Saba,12.1784,-68.2385,26223.0
"Netherlands, Curacao","Curacao, Netherlands",Curacao,Netherlands,Curacao,12.1696,-68.99,164093.0
"Netherlands, Sint Maarten","Sint Maarten, Netherlands",Sint Maarten,Netherlands,Sint Maarten,18.0425,-63.0548,42876.0
